alph_len,dfa_states,dfa_final,rnn_layers,rnn_hidden_dim,rnn_dataset_learning,rnn_dataset_testing,rnn_testing_acc,rnn_val_acc,rnn_time,dist_rnn_vs_inter
5,17,1,2,340,200000,12020,100,99.9,9830,0
5,9,3,1,180,200000,12020,100,100,285,0
5,16,1,2,320,212180,12760,97.6,97.2,10500,0.023042227607955
5,20,8,3,400,200000,12020,99.3,99.1,21200,0.006777125767045
5,14,8,2,280,200000,12020,100,96.5,943,0
5,21,4,3,420,200000,12020,100,100,13300,0
5,14,1,2,280,200000,12020,100,99.1,1430,0
5,15,5,2,300,200000,12020,100,99.8,1350,0
5,11,1,2,220,200000,14840,100,99.8,3130,0
5,12,2,2,240,200000,12020,100,98.8,704,0
5,16,12,2,320,200000,12020,100,98.1,2420,0
5,21,6,3,420,200000,12020,100,99.8,9990,0
5,21,13,3,420,200000,12020,100,99.3,8310,0
5,17,9,2,340,200000,12020,100,100,1820,0
5,9,7,1,180,200000,12020,100,99.3,433,0
5,8,3,1,160,200000,12020,100,38.6,238,0
5,21,5,3,420,200000,12020,100,99.9,15400,0
5,19,5,2,380,200000,12020,100,99.5,2000,0.001355425153409
5,24,6,3,480,200000,12020,99.9,98.9,23900,0
